세부사업 코드,세부사업명,기관,지역,구분,분야(추정),성격,예산현액(억 원),집행액(억 원),온통청년 대응,대응 정책번호,대응 정책명,가장 가까운 후보,후보 유사도
019-110-1000-1051-304,해외취업지원,고용노동부,중앙,중앙,취업·일경험,대상자 지원,441.28,401.03,있음,20250122005400110355,해외취업정착지원금,청년장병 취·창업 지원 강화,0.667
6410000201830207,청년 노동자 지원사업(자체/직접),경기본청,경기,지방,정책기반,대상자 지원,393.5,256.0,있음,,,청년 노동자 통장 운영,1.02
3780000200830975,청소년청년재단 운영비 지원,경기성남시,경기,지방,정책기반,기반·운영,362.96,369.32,찾지 못함,,,경기청년 재기격려지원사업,0.575
61100002020303C4,청년 월세 지원,서울본청,서울,지방,주거,대상자 지원,347.56,222.54,찾지 못함,,,서울청년문화패스 지원,0.691
075-110-1300-1331-303,자립준비청년 자립수당 지급,보건복지부,중앙,중앙,금융·생활안정,대상자 지원,340.68,276.36,있음,20250609005400110892,자립준비청년 자립수당 지급,자립준비청년 자립수당 지급,1.0
089-236-4100-4140-300,청년농촌보금자리조성(자율),농림축산식품부,중앙,중앙,창업·농어업,기반·운영,334.0,319.73,있음,20260922005400113549,청년농촌보금자리조성,청년농촌보금자리조성,1.0
6410000202230377,청년월세 한시 특별지원(국비/지원),경기본청,경기,지방,주거,대상자 지원,322.95,170.0,있음,,,(국토부) 26년 청년월세 지원사업,0.9
64600002022302D6,전남 청년비전센터 건립 (전남),전남광주본청,전남,지방,정책기반,기반·운영,267.32,99.3,있음,,,광주청년센터 운영,0.787
019-110-1000-1049-301,한국잡월드운영지원,고용노동부,중앙,중앙,취업·일경험,대상자 지원,263.63,205.59,찾지 못함,,,청년 채무조정 제공,0.625
630000020243016C,청년부부 결혼장려금 지원,대전본청,대전,지방,금융·생활안정,대상자 지원,247.0,160.0,있음,20260128005400212083,대전광역시 청년부부 결혼장려금 지원사업,대전광역시 청년부부 결혼장려금 지원사업,1.12
6110000202130504,청년안심주택 SH 선매입,서울본청,서울,지방,주거,기타,237.79,237.79,있음,,,청년안심주택 공급(매입),0.752
6260000202330151,청년월세 한시 특별지원,부산본청,부산,지방,주거,대상자 지원,214.12,161.19,있음,,,부산 청년 월세 지원,1.02
3740000200930587,수원시청소년청년재단 운영,경기수원시,경기,지방,정책기반,기타,212.97,199.55,찾지 못함,,,경기도 청년참여기구 운영,0.52
64700002018300FB,청년농업인영농정착지원(지원),경북본청,경북,지방,창업·농어업,대상자 지원,199.38,166.84,찾지 못함,,,청년스타트업 지원,0.646
646000020183014C,청년농업인영농정착지원 (전남),전남광주본청,전남,지방,창업·농어업,대상자 지원,188.53,176.78,있음,20260513005400213183,2026년 청년농업인(청년창업형 후계농업경영인) 영농정착지원사업(2차),2026년 청년농업인(청년창업형 후계농업경영인) 영농정착지원사업(2차),1.12
5710000202330570,지역 전략 특화산업과 연계한 서원 청년문화특구 조성,충북청주시,충북,지방,문화·건강,기반·운영,183.9,49.25,찾지 못함,,,청년 농촌보금자리 조성사업,0.37
64500002018300BC,청년창업농 영농정착지원(지원),전북본청,전북,지방,창업·농어업,대상자 지원,181.86,123.25,있음,20250718005400211410,청년창업농 영농정착지원사업,청년창업농 영농정착지원사업,1.12
6270000202230068,청년월세 지원,대구본청,대구,지방,주거,대상자 지원,180.76,127.54,있음,,,(국토부) 26년 청년월세 지원사업,0.8
072-110-1600-1633-303,K-Art 청년 창작자 지원,문화체육관광부,중앙,중앙,교육·역량,대상자 지원,180.0,180.0,있음,20260304005400112099,케이-아트(K-Art) 청년 창작자 지원,케이-아트(K-Art) 청년 창작자 지원,0.636
075-110-1300-1331-304,자립준비청년 자립지원 체계 구축,보건복지부,중앙,중앙,금융·생활안정,대상자 지원,175.74,155.71,있음,20250617005400110944,자립준비청년 자립지원 사업,자립준비청년 자립지원 사업,0.9
64600002022302DD,청년 공공임대주택 건립 지원 (전남),전남광주본청,전남,지방,주거,기반·운영,160.0,160.0,있음,,,상무지구 광주형 통합공공임대주택 건립,0.76
101-110-3100-3131-306,사회연대경제 청년 일경험 시범사업,행정안전부,중앙,중앙,취업·일경험,대상자 지원,156.42,155.53,있음,20260922005400113540,사회연대경제 청년 일경험 시범 지원,사회연대경제 청년 일경험 시범 지원,1.0
3740000201830347,청년기본소득(도비),경기수원시,경기,지방,금융·생활안정,기타,139.98,62.72,있음,20250515005400210826,경기도 청년기본소득,경기도 청년기본소득,1.12
64500002019302FB,청년 지역정착 지원 활성화,전북본청,전북,지방,정책기반,대상자 지원,135.94,100.85,있음,,,전북청년 지역정착 지원사업,1.02
611000020213014A,청년안심주택 위탁관리,서울본청,서울,지방,주거,기타,134.65,120.49,있음,,,청년안심주택 공급(매입),0.787
6260000202330163,청년 자산형성지원,부산본청,부산,지방,금융·생활안정,대상자 지원,131.34,131.34,있음,20260513005400213197,부산 청년 자산형성 지원(부산청년 기쁨두배통장),부산 청년 자산형성 지원(부산청년 기쁨두배통장),1.12
6410000201530568,청년 노동자 통장 운영(자체/직접),경기본청,경기,지방,금융·생활안정,기타,122.93,113.89,있음,20251231005400212060,청년 노동자 통장 운영,청년 노동자 통장 운영,1.12
6410000202630083,청년 농업인 영농정착 지원(균특/지원),경기본청,경기,지방,창업·농어업,대상자 지원,119.28,111.42,있음,20251107005400211815,청년농업인 영농정착지원,청년농업인 영농정착지원,1.12
4930000202230186,청년공공임대주택 건립(소멸대응기금),전남광주해남군,전남,지방,주거,기반·운영,118.55,63.94,찾지 못함,,,청년 소모임 활동 지원,0.473
630000020223018D,청년월세 한시 특별지원,대전본청,대전,지방,주거,대상자 지원,116.62,54.66,있음,,,(국토부) 26년 청년월세 지원사업,0.9
094-110-3100-3161-335,한미첨단분야청년교류지원,산업통상부,중앙,중앙,참여·권리,대상자 지원,116.25,110.04,있음,20250610005400110903,첨단분야 글로벌 인재육성(한미첨단분야청년교류지원),KF 한베청년교류,0.556
4860000202430008,청년 하우징타운 조성(2025년),전남광주곡성군,전남,지방,정책기반,기반·운영,111.7,110.3,찾지 못함,,,전남형 청년마을 조성사업,0.62
64700002022301AE,청년월세지원사업,경북본청,경북,지방,주거,대상자 지원,107.5,49.56,있음,,,청년 신혼부부 월세 지원사업,0.92
6440000202230079,청년농업인 영농정착 지원,충남본청,충남,지방,창업·농어업,대상자 지원,105.94,99.03,있음,,,청년후계농업인 영농정착 지원,1.037
648000020193000F,청년 농업인 영농정착 지원(지원),경남본청,경남,지방,창업·농어업,대상자 지원,105.9,99.01,있음,20260408005400212643,청년농업인 영농정착지원,청년농업인 영농정착지원,1.12
44200002024300F5,청년농촌보금자리 조성사업,충북보은군,충북,지방,창업·농어업,기반·운영,101.78,56.86,있음,20251121005400211919,청년 농촌보금자리 조성사업,청년 농촌보금자리 조성사업,1.12
629000020213022E,청년월세지원(보조) (광주),전남광주본청,광주,지방,주거,대상자 지원,101.49,61.69,있음,,,청년월세지원,0.92
648000020223028A,청년 월세 지원사업(국토부),경남본청,경남,지방,주거,대상자 지원,99.83,69.89,있음,,,청년 월세 지원,0.92
010-110-7000-7035-316,청년정책총괄 조정 및 지원,국무조정실 및 국무총리비서실,중앙,중앙,정책기반,대상자 지원,93.54,47.63,있음,20260918005400113432,청년정책조정위원회 전문위원회 설치,청년정책조정위원회 전문위원회 설치,0.519
075-110-2500-2537-303,청년정책 개발 및 지원체계 기반 구축,보건복지부,중앙,중앙,정책기반,대상자 지원,92.88,78.18,찾지 못함,,,청년정책 지역협력 체계 강화,0.56
628000020223028C,청년월세 지원사업(19~34세),인천본청,인천,지방,주거,대상자 지원,92.11,54.08,있음,,,(검단구) 인천시 청년월세 지원사업,0.92
089-213-2200-2220-380,스마트팜 청년창업 보육센터,농림축산식품부,중앙,중앙,창업·농어업,대상자 지원,91.6,91.6,있음,20260921005400113498,스마트팜 청년창업 보육센터,스마트팜청년창업보육센터,1.0
5130000202230043,(국비보조)청년월세 지원사업,경북경산시,경북,지방,주거,대상자 지원,91.4,23.31,있음,,,청년 신혼부부 월세 지원사업,0.92
53100002022301AF,산업단지 휴·폐업공장 청년창업공간 리모델링 사업,경남진주시,경남,지방,창업·농어업,기반·운영,91.03,15.17,찾지 못함,,,진주시 중소기업 취업청년  복지지원금 지원사업,0.436
6110000202330410,서울 청년문화패스 지원,서울본청,서울,지방,문화·건강,대상자 지원,90.81,59.65,있음,20250227005400210572,서울청년문화패스,서울청년문화패스,1.12
37400002022301F3,청년월세 지원(국비),경기수원시,경기,지방,주거,대상자 지원,90.37,23.73,있음,,,(국토부) 26년 청년월세 지원사업,0.8
086-239-2200-2232-323,대학생 AI 기본 교육 지원,교육부,중앙,중앙,교육·역량,대상자 지원,88.4,88.4,찾지 못함,,,(청년 금융교육 지원) 대학생 금융교육봉사단,0.526
4550000202530030,신혼청년 공공임대주택 조성(지방소멸대응기금),충남금산군,충남,지방,주거,기반·운영,88.0,4.57,찾지 못함,,,청년 생활공구 대여사업,0.52
57100002022301C9,청년월세 지원 사업,충북청주시,충북,지방,주거,대상자 지원,87.28,22.89,있음,,,신 취약청년(가족돌봄·고립은둔) 지원사업,0.826
544000020243012B,청년농촌보금자리조성사업(이전재원),경남하동군,경남,지방,창업·농어업,기반·운영,87.03,0.18,있음,20250917005400211728,청년 농촌보금자리 조성,청년 농촌보금자리 조성,1.12
4050000201930130,청년기본소득,경기용인시,경기,지방,금융·생활안정,기타,86.74,51.23,있음,20250515005400210826,경기도 청년기본소득,경기도 청년기본소득,1.12
4010000201930355,시흥시청소년청년재단  운영,경기시흥시,경기,지방,정책기반,기타,86.47,70.46,찾지 못함,,,경기도 청년참여기구 운영,0.591
47400002024300A2,고랭지 청년 임대형 스마트팜 단지 조성(2026기금)(전환사업),전북무주군,전북,지방,창업·농어업,기반·운영,82.74,20.42,찾지 못함,,,청년창업 스마트팜 패키지 지원,0.639
096-236-3300-3347-363,청년어촌정착지원,해양수산부,중앙,중앙,창업·농어업,대상자 지원,80.64,53.63,있음,20250113005400110171,청년어업인 정착지원 사업,청년어업인 정착지원 사업,0.769
64400002022301A5,청년월세 지원사업,충남본청,충남,지방,주거,대상자 지원,78.27,54.8,있음,,,청년농 지원사업 홍보,0.826
64600002024301A7,청년농촌보금자리조성사업 (전남),전남광주본청,전남,지방,창업·농어업,기반·운영,78.0,67.33,있음,,,청년농촌보금자리조성,1.0
386000020203002B,청년기본소득,경기부천시,경기,지방,금융·생활안정,기타,77.58,34.75,있음,20250515005400210826,경기도 청년기본소득,경기도 청년기본소득,1.12
62900002022300D0,광주청년일경험드림(2026) (광주),전남광주본청,광주,지방,취업·일경험,대상자 지원,77.0,77.0,있음,,,광주청년 일경험드림 제18기,1.02
4470000202430130,음성군 산업단지 청년복합문화센터 건립사업,충북음성군,충북,지방,문화·건강,기반·운영,76.62,0.4,찾지 못함,,,충북청년희망센터 운영,0.52
61100002019303A9,자립준비청년 자립수당 지원,서울본청,서울,지방,금융·생활안정,대상자 지원,76.6,50.92,있음,20250519005400210856,자립준비청년 자립수당 지원,자립준비청년 자립수당 지원,1.12
63000002017301B8,청년자립기반 조성,대전본청,대전,지방,금융·생활안정,기반·운영,76.48,62.0,찾지 못함,,,청년 네트워크 활성화 지원사업,0.473
449000020223012D,청년월세 지원,충남천안시,충남,지방,주거,대상자 지원,75.06,22.33,있음,,,(국토부) 26년 청년월세 지원사업,0.8
461000020223013B,청년스마트빌리지조성사업,충남예산군,충남,지방,정책기반,기반·운영,73.24,28.51,있음,,,청년자립형 스마트팜 지원사업,0.76
6450000202330678,청년농촌보금자리조성사업,전북본청,전북,지방,창업·농어업,기반·운영,72.8,72.8,있음,20250716005400211289,청년농촌보금자리 조성사업,청년농촌보금자리 조성사업,1.12
6410000201930352,자립준비청년 자립수당 지원(국비/지원),경기본청,경기,지방,금융·생활안정,대상자 지원,71.97,53.97,있음,,,자립준비청년 자립수당 지급,0.917
54300002025300EA,청년정착거점 루트 남해,경남남해군,경남,지방,정책기반,기타,70.46,0.16,찾지 못함,,,청년정책네트워크 운영,0.62
5530000201930104,청년기본소득 지원,경기화성시,경기,지방,금융·생활안정,대상자 지원,70.43,40.11,있음,20250515005400210826,경기도 청년기본소득,경기도 청년기본소득,1.12
4640000202230259,청년월세 지원사업,전북전주시,전북,지방,주거,대상자 지원,68.73,24.96,있음,,,(국토부) 26년 청년월세 지원사업,0.8
64300002022301B1,청년월세 지원사업,충북본청,충북,지방,주거,대상자 지원,68.73,48.12,있음,,,신 취약청년(가족돌봄·고립은둔) 지원사업,0.826
6410000201930027,경기도 청년 면접수당(자체/직접),경기본청,경기,지방,금융·생활안정,대상자 지원,66.55,44.05,있음,20260908005400213381,경기도 청년 면접수당,경기도 청년 면접수당,1.12
5070000202530180,[국]청년창업임대형 양식단지 조성사업,경북안동시,경북,지방,창업·농어업,기반·운영,66.09,4.52,있음,20260918005400113451,청년 창업 임대형 양식단지 조성,청년 창업 임대형 양식단지 조성,1.12
49200002023302CA,"천년문화 강진, 청년 글로컬 플랫폼(전환사업)",전남광주강진군,전남,지방,문화·건강,기타,65.72,27.78,찾지 못함,,,청년 글로벌셀러 육성 지원,0.501
50000002026300ED,청년 공공임대주택 2호 조성(지방소멸대응기금),전남광주진도군,전남,지방,주거,기반·운영,65.0,0.0,찾지 못함,,,전남형 청년마을 조성사업,0.541
5310000202230170,청년월세 지원 사업(국토부),경남진주시,경남,지방,주거,대상자 지원,64.84,14.84,있음,,,청년 월세 지원,0.92
5710000202430021,대현지하상가 청년특화지역 조성,충북청주시,충북,지방,정책기반,기반·운영,64.34,64.25,찾지 못함,,,청년 농촌보금자리 조성사업,0.453
345000020223006B,청년월세 한시 특별지원사업,대구북구,대구,지방,주거,대상자 지원,64.1,22.19,있음,,,(국토부) 26년 청년월세 지원사업,0.9
5670000202230206,국토부 청년월세 지원사업,경남창원시,경남,지방,주거,대상자 지원,63.48,14.64,있음,,,청년 월세 지원,1.02
64200002021301CD,청년농업인 영농정착 지원(지원)(국고),강원본청,강원,지방,창업·농어업,대상자 지원,63.2,59.98,있음,20250430005400210740,청년농업인 영농정착 지원,청년농업인 영농정착 지원,1.12
5680000202530072,청년자립형 스마트팜 지원사업(스마트원예단지),충남당진시,충남,지방,창업·농어업,대상자 지원,61.27,21.43,있음,20251111005400211844,청년자립형 스마트팜 지원사업,청년자립형 스마트팜 지원사업,1.12
3290000202230069,청년월세 특별지원사업,부산부산진구,부산,지방,주거,대상자 지원,60.8,22.45,있음,,,부산 청년 월세 지원,1.02
507000020243000C,안동지역대학 대학생 학업장려금 지원,경북안동시,경북,지방,교육·역량,대상자 지원,60.77,54.48,찾지 못함,,,지역산업 연계형 대학 특성화학과 혁신지원사업,0.532
62600002022302D1,시설물 안전진단 및 보강공사(청년산학국),부산본청,부산,지방,정책기반,기반·운영,59.34,44.93,찾지 못함,,,부산 전세사기 피해주택 시설개선 지원사업,0.334
39300002022300C1,청년월세지원,경기안산시,경기,지방,주거,대상자 지원,57.38,10.97,있음,,,(국토부) 26년 청년월세 지원사업,0.8
64200002022301FE,청년월세 지원사업(국고),강원본청,강원,지방,주거,대상자 지원,57.34,46.64,있음,,,청년월세 한시 특별지원,0.8
39300002019300F5,청년기본소득,경기안산시,경기,지방,금융·생활안정,기타,57.34,34.32,있음,20250515005400210826,경기도 청년기본소득,경기도 청년기본소득,1.12
51300002024300F5,(자체사업)산업단지 환경조성사업(청년문화센터),경북경산시,경북,지방,문화·건강,기반·운영,56.86,0.06,찾지 못함,,,지역산업 연계형 대학 특성화학과 혁신지원사업,0.453
482000020223013C,전남청년 문화복지카드 지원사업,전남광주순천시,전남,지방,문화·건강,대상자 지원,56.26,45.0,있음,20250516005400210831,전남청년 문화복지카드,전남청년 문화복지카드,1.12
4540000202330183,청년농 맞춤형 스마트팜 보급 지원,충남논산시,충남,지방,창업·농어업,대상자 지원,56.13,20.55,있음,,,청년자립형 스마트팜 지원사업,0.787
4700000202430008,청년 농촌보금자리 조성사업(대산면),전북남원시,전북,지방,주거,기반·운영,56.06,0.54,있음,,,청년농촌보금자리조성,1.0
3740000202530193,근로능력 있는 수급자의 탈수급 지원(청년)(국비),경기수원시,경기,지방,취업·일경험,대상자 지원,55.58,52.04,찾지 못함,,,중증장애인근로자 출퇴근 비용 지원,0.333
447000020233019F,청년 농촌보금자리 조성사업,충북음성군,충북,지방,주거,기반·운영,55.45,8.05,있음,20251121005400211919,청년 농촌보금자리 조성사업,청년 농촌보금자리 조성사업,1.12
630000020193019B,미래두배 청년통장 지원,대전본청,대전,지방,금융·생활안정,대상자 지원,55.24,55.24,찾지 못함,,,청년도전지원사업,0.564
629000020173020B,청년역량강화및자립지원 (광주),전남광주본청,광주,지방,교육·역량,대상자 지원,55.03,52.73,있음,,,광주청년센터 운영,0.92
405000020223004F,청년월세 지원,경기용인시,경기,지방,주거,대상자 지원,55.0,12.14,있음,,,(국토부) 26년 청년월세 지원사업,0.8
5080000202230031,(국토부)청년월세지원사업,경북구미시,경북,지방,주거,대상자 지원,53.17,11.86,있음,,,청년 신혼부부 월세 지원사업,0.92
3990000201930204,청년기본소득 운영,경기남양주시,경기,지방,금융·생활안정,기타,53.02,33.27,있음,20250515005400210826,경기도 청년기본소득,경기도 청년기본소득,1.12
62800002014302E3,청년정책 추진 및 일자리 지원,인천본청,인천,지방,취업·일경험,대상자 지원,52.5,50.0,찾지 못함,,,항공정비 청년일자리 맞춤지원,0.68
464000020193036E,전북 청년지역정착 지원사업,전북전주시,전북,지방,정책기반,대상자 지원,52.21,39.23,있음,20250113005400210206,전북청년 지역정착 지원사업,전북청년 지역정착 지원사업,1.12
433100020243007E,청년농촌보금자리 조성사업[국비],강원인제군,강원,지방,창업·농어업,기반·운영,51.82,5.15,있음,,,청년농촌보금자리조성,1.0
6430000201830163,청년 농업인 영농정착 지원,충북본청,충북,지방,창업·농어업,대상자 지원,51.56,48.3,있음,,,청년후계농 영농정착 지원,0.938
4180000202230147,청년월세 지원,강원춘천시,강원,지방,주거,대상자 지원,51.08,15.04,있음,,,청년월세 한시 특별지원,0.8
6420000202330524,청년 농촌보금자리조성(국고),강원본청,강원,지방,주거,기반·운영,51.0,51.0,있음,,,청년농촌보금자리조성,1.0
34800002024301A8,구지농공단지 청년문화센터 건립,대구달성군,대구,지방,문화·건강,기반·운영,50.89,1.88,찾지 못함,,,청년문화예술패스,0.484
6110000202030089,지역별 서울청년센터 설치 운영,서울본청,서울,지방,정책기반,기타,50.71,49.55,있음,,,지역별 서울청년센터 설치 운영,1.0
4640000202230124,근로 능력있는 수급자의 탈수급지원(청년내일저축계좌),전북전주시,전북,지방,금융·생활안정,대상자 지원,50.46,42.51,찾지 못함,,,중증장애인근로자 출퇴근 비용 지원,0.333
6410000202630355,경기도 청년 전·월세 보증금 이자 지원(자체/직접),경기본청,경기,지방,주거,대상자 지원,50.0,0.0,찾지 못함,,,2025년 상반기 경기도 학자금 대출이자 지원,0.537
47410002026300FD,청년 디딤돌 스마트팜 조성 지원,전북무주군,전북,지방,창업·농어업,기반·운영,50.0,9.0,있음,,,청년창업 스마트팜 패키지 지원,0.735
47110002026300A8,청년 디딤돌 스마트팜 조성 지원사업(보조),전북김제시,전북,지방,창업·농어업,기반·운영,50.0,50.0,있음,,,청년희망 스마트팜 확산사업,0.713
511000020213009F,청년정책 활성화,경북상주시,경북,지방,정책기반,기타,49.7,17.78,찾지 못함,,,청년성장프로젝트,0.52
5200000202530084,청년농촌보금자리조성사업,경북고령군,경북,지방,창업·농어업,기반·운영,48.92,0.05,있음,,,청년농촌보금자리조성,1.0
3310000202230054,청년 월세 특별 지원,부산남구,부산,지방,주거,대상자 지원,48.91,18.88,있음,,,부산 청년 월세 지원,1.02
6500000201930191,청년 취업 지원,제주본청,제주,지방,취업·일경험,대상자 지원,48.58,25.98,있음,,,청년 취업지원 희망프로젝트 사업,0.92
4780000202330094,청년창업농 스마트팜 단지 조성,전북고창군,전북,지방,창업·농어업,기반·운영,48.39,48.36,있음,,,청년창업 스마트팜 패키지 지원,0.87
33500002022300B8,청년월세 지원사업,부산금정구,부산,지방,주거,대상자 지원,48.21,14.69,있음,,,부산 청년 월세 지원,0.92
643000020193028E,청년 농촌보금자리 조성사업,충북본청,충북,지방,주거,기반·운영,48.0,48.0,있음,20251121005400211919,청년 농촌보금자리 조성사업,청년 농촌보금자리 조성사업,1.12
6310000202230119,청년월세 지원,울산본청,울산,지방,주거,대상자 지원,47.98,33.6,있음,,,청년월세 한시 특별지원사업,0.92
36600002022300A4,청년월세 지원사업,대전서구,대전,지방,주거,대상자 지원,47.84,17.44,있음,,,청년도전지원사업,0.87
44000002025300B6,청년농촌보금자리 조성사업(보조),충북제천시,충북,지방,창업·농어업,기반·운영,47.65,0.03,있음,20251121005400211919,청년 농촌보금자리 조성사업,청년 농촌보금자리 조성사업,1.12
394000020223026E,청년월세 한시 특별지원,경기고양시,경기,지방,주거,대상자 지원,47.5,10.03,있음,,,(국토부) 26년 청년월세 지원사업,0.9
394000020253017C,근로능력있는 수급자의 탈수급지원(청년),경기고양시,경기,지방,취업·일경험,대상자 지원,47.25,37.25,찾지 못함,,,중증장애인근로자 출퇴근 비용 지원,0.333
5160000202430005,청송 공공임대주택 청년빌리지 건립사업,경북청송군,경북,지방,주거,기반·운영,47.13,38.19,찾지 못함,,,2025년 청년도전 지원사업,0.555
44400002025300DF,청년농촌보금자리 조성(보조),충북영동군,충북,지방,창업·농어업,기반·운영,47.08,4.34,있음,20251121005400211919,청년 농촌보금자리 조성사업,청년 농촌보금자리 조성사업,1.12
3620000202230074,청년월세지원,전남광주북구,광주,지방,주거,대상자 지원,46.56,15.33,있음,,,청년월세지원,0.92
6410000202230322,청년기회금융 지원,경기본청,경기,지방,금융·생활안정,대상자 지원,46.26,46.26,있음,,,경기청년 기회사다리금융,0.92
4680000202130094,익산형 근로청년수당,전북익산시,전북,지방,금융·생활안정,대상자 지원,45.5,33.4,있음,20250716005400211325,익산형 근로청년수당,익산형 근로청년수당,1.12
37800002022301BF,청년월세 지원사업,경기성남시,경기,지방,주거,대상자 지원,45.0,10.05,있음,,,(국토부) 26년 청년월세 지원사업,0.8
647000020193027B,청년농촌보금자리조성사업,경북본청,경북,지방,창업·농어업,기반·운영,45.0,41.41,있음,,,청년농촌보금자리조성,1.0
6410000202330418,경기청년 갭이어 프로그램(자체/직접),경기본청,경기,지방,정책기반,기타,44.85,40.85,있음,,,경기청년 사다리 프로그램,0.787
47010002025300A3,청년스마트 미꾸리 양식창업 사관학교조성(2026),전북남원시,전북,지방,창업·농어업,기반·운영,44.84,18.35,찾지 못함,,,청년희망 스마트팜 확산사업,0.52
429100020243009A,청년농촌보금자리 조성사업,강원정선군,강원,지방,창업·농어업,기반·운영,44.62,36.05,있음,,,청년농촌보금자리조성,1.0
6310000202330315,방어동 청년희망주택 건립,울산본청,울산,지방,주거,기반·운영,44.58,37.01,있음,20250714005400111215,방어동 청년희망주택 건립,방어동 청년희망주택 건립,1.12
6460000202230174,청년월세 한시 특별지원 사업 (전남),전남광주본청,전남,지방,주거,대상자 지원,44.19,30.11,있음,,,청년월세지원,1.02
499000020243007A,청년공공임대주택 건립,전남광주완도군,전남,지방,주거,기반·운영,44.1,0.96,찾지 못함,,,청년 취업자 주거비 지원사업,0.453
488000020253012D,청년 창업 임대형 양식단지 조성(공모),전남광주고흥군,전남,지방,창업·농어업,기반·운영,44.03,14.03,있음,20260918005400113451,청년 창업 임대형 양식단지 조성,청년 창업 임대형 양식단지 조성,1.12
3930000201730231,청년예술창작소 A-빌리지 조성,경기안산시,경기,지방,문화·건강,기반·운영,44.03,0.0,찾지 못함,,,청년 융합기술 창업지원,0.555
6110000202030410,서울시 고립·은둔청년 지원,서울본청,서울,지방,정책기반,대상자 지원,43.91,28.98,있음,20250519005400210859,서울시 고립·은둔청년 지원사업,서울시 고립·은둔청년 지원사업,1.12
019-110-1000-1051-306,직업정보제공및직업지도,고용노동부,중앙,중앙,취업·일경험,대상자 지원,43.27,38.27,있음,20250123005400110396,청년층직업지도프로그램(CAP@),청년장병 취·창업 지원 강화,0.667
39100002019300E4,경기도 청년기본소득(도비),경기평택시,경기,지방,금융·생활안정,기타,43.07,24.96,있음,20250515005400210826,경기도 청년기본소득,경기도 청년기본소득,1.12
48100002022300B5,전남청년 문화복지카드 사업,전남광주여수시,전남,지방,문화·건강,대상자 지원,43.0,38.12,있음,20250516005400210831,전남청년 문화복지카드,전남청년 문화복지카드,1.12
548000020253009F,청년 공공임대주택 건립(2025년 기금),경남합천군,경남,지방,주거,기반·운영,43.0,0.0,찾지 못함,,,청년후계농 농지 임대료 지원,0.52
